Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,Data Analytics Course,104,"4,498",232,14,7,0.058,"1,892",11/16/2024,Hydrabad,desktop,learn data analytics
A1001,Data Analytics Course,173,"5,107",217,10,8,0.046,"1,679",20/11/2024,Hydrabad,mobile,data analytics course
A1002,Data Analytics Course,90,4544,$203.66,26,9,,"$1,624",11/16/2024,,Desktop,data analitics online
A1003,Data Analytics Course,142,3185,$237.66,17,6,,"$1,225",11/26/2024,,tablet,data anaytics training
A1004,Data Analytics Course,156,3361,$195.90,30,8,,"$1,091",11/22/2024,,desktop,online data analytic
A1005,Data Analytics Course,195,3776,$243.57,10,8,,"$1,315",16/11/2024,,MOBILE,data anaytics training
A1006,Data Analytics Course,116,"4,480",238,17,5,0.043,"1,640",6/11/2024,Hydrabad,tablet,data analytics course
A1007,Data Analytics Course,184,"5,060",230,23,3,0.016,"1,509",11/24/2024,Hydrabad,tablet,analytics for data
A1008,Data Analytics Course,113,5434,,27,4,0.058,"$1,362",11/24/2024,,Tablet,data anaytics training
A1009,Data Analytics Course,166,"3,355",187,24,9,0.054,"1,029",11/12/2024,Hydrabad,mobile,online data analytic
A1010,Data Analytics Course,101,"5,399",237,20,6,0.059,"1,900",14/11/2024,Hydrabad,desktop,learn data analytics
A1011,Data Analytics Course,101,"3,613",208,24,5,0.05,"1,130",11/22/2024,Hydrabad,desktop,online data analytic
A1012,Data Analytics Course,125,"3,259",191,18,3,0.024,"1,959",11/27/2024,Hydrabad,desktop,data analitics online
A1013,Data Analytics Course,196,"3,742",207,10,7,0.038,"1,623",12/11/2024,Hydrabad,mobile,data anaytics training
A1014,Data Analytics Course,181,"4,311",185,11,9,0.05,"1,538",11/4/2024,Hydrabad,desktop,data anaytics training
A1015,Data Analytics Course,102,"5,461",202,22,8,0.078,"1,755",11/29/2024,Hydrabad,desktop,data analytics course
A1016,Data Analytics Course,193,5159,,15,9,0.047,"$1,614",11/10/2024,,Mobile,learn data analytics
A1017,Data Analytics Course,149,"4,431",207,19,9,0.06,"1,693",12/11/2024,Hydrabad,mobile,learn data analytics
A1018,Data Analytics Course,150,3113,$217.41,20,5,,"$1,785",11/7/2024,,Mobile,analytics for data
A1019,Data Analytics Course,145,5278,,25,6,0.041,"$1,516",11/5/2024,,DESKTOP,data analytics course
A1020,Data Analytics Course,184,"4,143",223,10,10,0.044,"1,735",11/21/2024,Hydrabad,tablet,learn data analytics
A1021,Data Analytics Course,171,"4,154",184,30,7,0.041,"1,803",11/8/2024,Hydrabad,tablet,data analitics online
A1022,Data Analytics Course,122,"5,187",211,27,6,0.049,"1,322",11/20/2024,Hydrabad,desktop,online data analytic
A1023,Data Analytics Course,188,"5,798",230,28,5,0.047,"1,452",30/11/2024,Hydrabad,tablet,data analytics course
A1024,Data Analytics Course,87,3718,,12,3,0.034,"$1,652",20/11/2024,,tablet,learn data analytics
A1025,Data Analytics Course,88,"3,349",182,22,8,0.091,"1,456",11/20/2024,Hydrabad,tablet,learn data analytics
A1026,Data Analytics Course,119,"5,323",206,17,10,0.06,"1,656",11/2/2024,Hydrabad,desktop,online data analytic
A1027,Data Analytics Course,,5286,$234.89,22,10,,"$1,688",11/21/2024,,DESKTOP,data anaytics training
A1028,Data Analytics Course,128,5469,$188.49,16,3,,"$1,783",11/23/2024,,MOBILE,learn data analytics
A1029,Data Analytics Course,86,"3,351",238,21,9,0.105,"1,975",11/13/2024,Hydrabad,mobile,analytics for data
A1030,Data Analytics Course,188,"4,834",214,15,4,0.021,"1,590",11/8/2024,Hydrabad,tablet,online data analytic
A1031,Data Analytics Course,113,5065,$212.37,11,5,,"$1,111",22/11/2024,,Desktop,online data analytic
A1032,Data Analytics Course,,3872,$244.38,20,4,,"$1,041",12/11/2024,,tablet,data analitics online
A1033,Data Analytics Course,176,"5,509",235,19,7,0.054,"1,710",11/3/2024,Hydrabad,tablet,data analytics course
A1034,Data Analytics Course,121,5610,$214.96,23,8,,,11/25/2024,,Mobile,data analytics course
A1035,Data Analytics Course,104,"5,275",236,16,9,0.031,"1,824",1/11/2024,Hydrabad,desktop,data anaytics training
A1036,Data Analytics Course,146,"5,939",243,11,8,0.035,"1,833",11/7/2024,Hydrabad,desktop,data anaytics training
A1037,Data Analytics Course,123,5131,,19,5,0.041,"$1,307",9/11/2024,,MOBILE,learn data analytics
A1038,Data Analytics Course,90,"5,786",198,11,6,0.043,"1,704",16/11/2024,Hydrabad,mobile,online data analytic
A1039,Data Analytics Course,171,"4,304",193,17,10,0.058,"1,427",11/26/2024,Hydrabad,mobile,learn data analytics
A1040,Data Analytics Course,94,"5,549",231,25,9,0.096,"1,849",11/12/2024,Hydrabad,mobile,data anaytics training
A1041,Data Analytics Course,112,4271,$196.07,27,6,,"$1,209",11/14/2024,,desktop,data analitics online
A1042,Data Analytics Course,113,4418,$191.55,27,10,,"$1,634",11/9/2024,,MOBILE,data analytics course
A1043,Data Analytics Course,145,"3,721",181,21,7,0.048,"1,960",29/11/2024,Hydrabad,desktop,data analitics online
A1044,Data Analytics Course,197,5783,$204.46,23,6,,"$1,729",1/11/2024,,TABLET,data anaytics training
A1045,Data Analytics Course,109,4866,$236.78,27,5,,"$1,585",15/11/2024,,Mobile,online data analytic
A1046,Data Analytics Course,188,"5,857",223,20,4,0.048,"1,303",11/11/2024,Hydrabad,desktop,data anaytics training
A1047,Data Analytics Course,142,"5,103",234,24,3,0.021,"1,835",11/8/2024,Hydrabad,mobile,analytics for data
A1048,Data Analytics Course,168,"4,653",241,27,9,0.054,"1,367",11/24/2024,Hydrabad,mobile,online data analytic
A1049,Data Analytics Course,110,"3,524",249,19,10,0.091,"1,524",21/11/2024,Hydrabad,mobile,learn data analytics
A1050,Data Analytics Course,192,"5,938",183,26,5,0.039,"1,080",11/12/2024,Hydrabad,mobile,analytics for data
A1051,Data Analytics Course,101,"3,942",207,16,5,0.05,"1,746",11/24/2024,Hydrabad,tablet,analytics for data
A1052,Data Analytics Course,157,"3,315",190,15,10,0.064,"1,026",11/25/2024,Hydrabad,mobile,online data analytic
A1053,Data Analytics Course,113,4945,$187.66,15,10,,"$1,564",11/26/2024,,TABLET,learn data analytics
A1054,Data Analytics Course,96,"3,166",196,29,7,0.073,"1,902",26/11/2024,Hydrabad,desktop,learn data analytics
A1055,Data Analytics Course,125,4223,$183.68,15,6,,"$1,267",11/5/2024,,DESKTOP,data analitics online
A1056,Data Analytics Course,104,4798,$210.10,18,3,,"$1,340",21/11/2024,,desktop,analytics for data
A1057,Data Analytics Course,194,"5,655",209,13,6,0.031,"1,692",11/16/2024,Hydrabad,mobile,data anaytics training
A1058,Data Analytics Course,144,"5,140",219,19,8,0.047,"1,054",18/11/2024,Hydrabad,desktop,data analitics online
A1059,Data Analytics Course,179,3025,$238.81,17,3,0.017,,11/11/2024,,mobile,data analitics online
A1060,Data Analytics Course,166,"5,223",190,18,7,0.042,"1,219",16/11/2024,Hydrabad,tablet,data analytics course
A1061,Data Analytics Course,166,5089,,26,7,0.042,"$1,946",11/11/2024,,tablet,analytics for data
A1062,Data Analytics Course,118,"5,016",204,19,9,0.045,"1,833",11/8/2024,Hydrabad,desktop,analytics for data
A1063,Data Analytics Course,185,"3,617",222,24,7,0.038,"1,963",23/11/2024,Hydrabad,mobile,data analytics course
A1064,Data Analytics Course,116,"3,764",232,28,10,0.086,"1,348",11/20/2024,Hydrabad,tablet,data analytics course
A1065,Data Analytics Course,99,"4,489",184,15,6,0.061,"1,264",11/5/2024,Hydrabad,desktop,online data analytic
A1066,Data Analytics Course,172,"4,441",221,14,8,0.047,"1,771",27/11/2024,Hydrabad,mobile,analytics for data
A1067,Data Analytics Course,138,"5,751",199,26,9,0.052,"1,337",11/10/2024,Hydrabad,desktop,data analitics online
